CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ARTICOLO;DESCRIZIONE;IMBALLO;QUANTITA;UMGEST;PREZZOUNITLORDOEURO;SCONTIESTESI;IVA;PREZZOUNITNETTOEURO;DATACONSEGNA;TOTLORDORIGAEURO;TOTNETTORIGAEURO;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;ANNOTAZIONI;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;IDTESTA;IDRIGA;EXPORTCRM;IDTESTARP;IDRIGARP
C  2465;IMCD TIC. PAZ. VE DAN. LTD. STI;;NULL;DCG/2016/8;DDT Campionatura Cliente;8;2016-01-26 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;.500;KG;.450000;;NON IMP.ART.8 LETT.A-B-C;.450000;2016-01-25 00:00:00.000;.2300;.2300;2016;DCG;8;;2016-01-26 00:00:00.000;;EXW TRICERRO;VISTA FATTURA;NULL;NULL;;68327;406663;2;1;406443;1
C    25;OLIMPIA TENSIOATTIVI SRL;;NULL;DCG/2016/9;DDT Campionatura Cliente;9;2016-01-26 00:00:00.000;32504;SETACIN F SPEZIAL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-20 00:00:00.000;.0000;.0000;2016;DCG;9;;2016-01-26 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;68404;406741;2;1;405966;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/10;DDT Campionatura Cliente;10;2016-01-26 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-22 00:00:00.000;.0000;.0000;2016;DCG;10;;2016-01-26 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;VRANJES DR. PAOLO LABORATORI VIA PERTINI, 5 - LOC. ANTELLA BAGNO A RIPOLI FI;68405;406743;2;1;406268;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/11;DDT Campionatura Cliente;11;2016-01-26 00:00:00.000;20516#000XXX;ZETESOL LES 2/C;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-20 00:00:00.000;.0000;.0000;2016;DCG;11;;2016-01-26 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;DR. VRANJES FIRENZE SRL UNIPERSONALE VIA S. PERTINI, 5 BAGNO A RIPOLI (RIMAGGIO) FI;68407;406744;2;1;406050;1
C   541;RUDY PROFUMI SRL;;NULL;DCG/2016/12;DDT Campionatura Cliente;12;2016-01-26 00:00:00.000;20553#000XXX;ZETESOL 270/N;NULL;1.000;KG;.000000;;NON IMP.ART.8 II COMMA;.000000;2016-01-20 00:00:00.000;.0000;.0000;2016;DCG;12;;2016-01-26 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;68408;406745;2;1;406042;1
C   362;L'ERBOLARIO SRL;;NULL;DCG/2016/13;DDT Campionatura Cliente;13;2016-01-26 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-19 00:00:00.000;.0000;.0000;2016;DCG;13;;2016-01-26 00:00:00.000;;FRANCO DESTINO;RIC.BANC.120 GG DF FM;NULL;NULL;;68409;406746;2;1;405885;1
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/14;DDT Campionatura Cliente;14;2016-01-26 00:00:00.000;43168;ZETEMULS PGR;DRUM;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-19 00:00:00.000;.0000;.0000;2016;DCG;14;;2016-01-26 00:00:00.000;;NULL;NULL;NULL;NULL;AGAMI SRL VIA DEGLI ARVALI,21 ROMA RM;68410;406747;2;1;405897;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/15;DDT Campionatura Cliente;15;2016-01-26 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;2.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-18 00:00:00.000;.0000;.0000;2016;DCG;15;;2016-01-26 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;RIVER CHIMICA IND.LE SPA VIA BORSELLINO, 7-9-11 PONTE A EGOLA  PI;68411;406748;2;1;405656;1
C   773;ZETA ESSE TI SRL;;NULL;DCG/2016/16;DDT Campionatura Cliente;16;2016-01-27 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-20 00:00:00.000;.0000;.0000;2016;DCG;16;;2016-01-27 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;;68500;406797;2;1;405986;1
C   773;ZETA ESSE TI SRL;;NULL;DCG/2016/16;DDT Campionatura Cliente;16;2016-01-27 00:00:00.000;20556#000XXX;ZUSOLAT 1007/85;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-26 00:00:00.000;.0000;.0000;2016;DCG;16;;2016-01-27 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;;68500;406797;7;1;406686;1
C   773;ZETA ESSE TI SRL;;NULL;DCG/2016/19;DDT Campionatura Cliente;19;2016-02-09 00:00:00.000;43070;T-QUAT CTA CONC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-02-05 00:00:00.000;.0000;.0000;2016;DCG;19;;2016-02-09 00:00:00.000;;EXW TRICERRO;RIM.DIR.90 GG DF FM;NULL;NULL;;70942;408302;2;1;408001;1
C   362;L'ERBOLARIO SRL;;NULL;DCG/2016/20;DDT Campionatura Cliente;20;2016-02-12 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-04 00:00:00.000;.0000;.0000;2016;DCG;20;;2016-02-12 00:00:00.000;;FRANCO DESTINO;RIC.BANC.120 GG DF FM;NULL;NULL;;71653;408781;2;1;404531;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/21;DDT Campionatura Cliente;21;2016-02-12 00:00:00.000;20260#000XXX;PROTELAN VE/K;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-11-30 00:00:00.000;.0000;.0000;2016;DCG;21;;2016-02-12 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;EBLA S.A.S. VIA DELLE FORNACI, 37 BORGO SAN LORENZO FI;71654;408782;2;1;402056;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/21;DDT Campionatura Cliente;21;2016-02-12 00:00:00.000;43178;ZETEMULS SMS;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-11-30 00:00:00.000;.0000;.0000;2016;DCG;21;;2016-02-12 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;EBLA S.A.S. VIA DELLE FORNACI, 37 BORGO SAN LORENZO FI;71654;408782;3;1;402056;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/22;DDT Campionatura Cliente;22;2016-02-12 00:00:00.000;20260#242XXX;PROTELAN VE/K NP;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-01 00:00:00.000;.0000;.0000;2016;DCG;22;;2016-02-12 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;IPRO SRL STRADA REGIONALE 66, NR.2 LOC. GELLO PT;71655;408783;2;1;402358;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/22;DDT Campionatura Cliente;22;2016-02-12 00:00:00.000;20236#243XXX;PROTELAN MGL - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-01 00:00:00.000;.0000;.0000;2016;DCG;22;;2016-02-12 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;IPRO SRL STRADA REGIONALE 66, NR.2 LOC. GELLO PT;71655;408783;3;1;402358;2
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/22;DDT Campionatura Cliente;22;2016-02-12 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-01 00:00:00.000;.0000;.0000;2016;DCG;22;;2016-02-12 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;IPRO SRL STRADA REGIONALE 66, NR.2 LOC. GELLO PT;71655;408783;4;1;402358;3
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/23;DDT Campionatura Cliente;23;2016-02-16 00:00:00.000;32670;LUMOROL K 1000;NULL;.250;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2016-02-16 00:00:00.000;.0600;.0600;2016;DCG;23;;2016-02-16 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;72011;409171;2;1;409093;1
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/23;DDT Campionatura Cliente;23;2016-02-16 00:00:00.000;32261;LUMOROL K 5229;NULL;.250;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2016-02-16 00:00:00.000;.0600;.0600;2016;DCG;23;;2016-02-16 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;72011;409171;3;1;409093;2
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/23;DDT Campionatura Cliente;23;2016-02-16 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;NULL;.250;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2016-02-16 00:00:00.000;.0600;.0600;2016;DCG;23;;2016-02-16 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;72011;409171;4;1;409093;3
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/23;DDT Campionatura Cliente;23;2016-02-16 00:00:00.000;32665;ZETESOL 2056;NULL;.250;KG;.250000;;NON IMP.ART.8 LETT.A-B-C;.250000;2016-02-16 00:00:00.000;.0600;.0600;2016;DCG;23;;2016-02-16 00:00:00.000;;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;72011;409171;5;1;409093;4
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/24;DDT Campionatura Cliente;24;2016-02-17 00:00:00.000;20300#264XXX;SETACIN 103/SPEZIAL NP;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-17 00:00:00.000;.0000;.0000;2016;DCG;24;;2016-02-17 00:00:00.000;;NULL;NULL;NULL;NULL;KAARAL MC sas di Vitulli S. & C. Z.I. - C da Piane Sant'Angelo SAN SALVO CH;NULL;409295;2;1;403883;1
C  1225;D.P.C. SPA;;NULL;DCG/2016/25;DDT Campionatura Cliente;25;2016-02-17 00:00:00.000;20051#000XXX;AMPHOTENSID B4/CONC-I;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-18 00:00:00.000;.0000;.0000;2016;DCG;25;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;;NULL;409297;2;1;404075;1
C   627;PROCHEM SAS DI L.CHIOSI;;NULL;DCG/2016/26;DDT Campionatura Cliente;26;2016-02-17 00:00:00.000;20385#114XXX;SULFETAL CS - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-11-30 00:00:00.000;.0000;.0000;2016;DCG;26;;2016-02-17 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;BLUEBERRY SRL STRADA CONSORTILE ASI MARCIANISE CE;NULL;409298;2;1;402050;1
C   627;PROCHEM SAS DI L.CHIOSI;;NULL;DCG/2016/27;DDT Campionatura Cliente;27;2016-02-17 00:00:00.000;20236#243XXX;PROTELAN MGL - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-01 00:00:00.000;.0000;.0000;2016;DCG;27;;2016-02-17 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;BLUEBERRY SRL STRADA CONSORTILE ASI MARCIANISE CE;NULL;409299;2;1;402324;1
C   627;PROCHEM SAS DI L.CHIOSI;;NULL;DCG/2016/27;DDT Campionatura Cliente;27;2016-02-17 00:00:00.000;20385#114XXX;SULFETAL CS - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-01 00:00:00.000;.0000;.0000;2016;DCG;27;;2016-02-17 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;BLUEBERRY SRL STRADA CONSORTILE ASI MARCIANISE CE;NULL;409299;3;1;402324;2
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/28;DDT Campionatura Cliente;28;2016-02-17 00:00:00.000;20195#000XXX;FLEROGUM LX;NULL;1.000;KG;.000000;;NULL;.000000;2015-12-02 00:00:00.000;.0000;.0000;2016;DCG;28;;2016-02-17 00:00:00.000;;NULL;NULL;NULL;NULL;FATER SPA c/o P&G Italia SpA Pomezia Plant VIA ARDEATINA, 100 POMEZIA (SANTA PALOMBA) RM;NULL;409300;2;1;402403;1
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;20517#000XXX;ZETESOL LES 2/SL;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;2;1;402892;1
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;20496#000XXX;ZETESOL LES 3/SL;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;3;1;402892;2
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;20385#095XXX;SULFETAL LS A PH ALTO;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;4;1;402892;3
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;32435;PHOSFETAL 201;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;5;1;402892;4
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;32439;PHOSFETAL 201 K;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;6;1;402892;5
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;43230;SULFETAL 4105;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;7;1;402892;6
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;32682;ZUSOLAT 1010/85;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;8;1;402892;7
C  2088;GALVANO FINISH SRL;;NULL;DCG/2016/29;DDT Campionatura Cliente;29;2016-02-17 00:00:00.000;20265#252XXX;PURTON CFD;FLACONI;.500;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;29;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;0;409301;9;1;402892;8
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/30;DDT Campionatura Cliente;30;2016-02-17 00:00:00.000;43058;ZETEMULS SLL;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-04 00:00:00.000;.0000;.0000;2016;DCG;30;;2016-02-17 00:00:00.000;;NULL;NULL;NULL;NULL;AGAMI SRL VIA DEGLI ARVALI,21 ROMA RM;NULL;409302;2;1;402645;1
C  2146;COSMETIC & SOLUTIONS di SERAFINI SABRINA;;NULL;DCG/2016/31;DDT Campionatura Cliente;31;2016-02-17 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-02 00:00:00.000;.0000;.0000;2016;DCG;31;;2016-02-17 00:00:00.000;;NULL;NULL;NULL;NULL;FAIPA COSMETICS SRL VIA VACCARECCIA, 11 POMEZIA (SANTA PALOMBA) RM;NULL;409304;2;1;402402;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/32;DDT Campionatura Cliente;32;2016-02-17 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-04 00:00:00.000;.0000;.0000;2016;DCG;32;;2016-02-17 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;LUDOVICO MARTELLI SRL VIA FAENTINA, NR. 169 SUB 10/11 CALDINE FI;NULL;409305;2;1;402739;1
C  2811;AREADERMA S.r.L.;;NULL;DCG/2016/33;DDT Campionatura Cliente;33;2016-02-17 00:00:00.000;20196#243XXX;FLEROGUM O 24 - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;33;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;72283;409306;2;1;402937;1
C  1222;COSMINT SPA;;NULL;DCG/2016/35;DDT Campionatura Cliente;35;2016-02-17 00:00:00.000;20021#000XXX;AMPHOTENSID B4/C;NULL;2.000;KG;.000000;;NON IMP.ART.8 II COMMA;.000000;2015-12-09 00:00:00.000;.0000;.0000;2016;DCG;35;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;72287;409309;2;1;402882;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/36;DDT Campionatura Cliente;36;2016-02-17 00:00:00.000;20285#000XXX;PROTELAN GC;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2016-01-11 00:00:00.000;.0000;.0000;2016;DCG;36;;2016-02-17 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;NIVEL SRL VIA ROMANA 615 - FRAZ. ARANCIO LUCCA LU;72297;409312;2;1;404916;1
C  1779; S.G.C. SRL;;NULL;DCG/2016/37;DDT Campionatura Cliente;37;2016-02-17 00:00:00.000;20194#272XXX;FLEROGUM K/38;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-22 00:00:00.000;.0000;.0000;2016;DCG;37;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;SAPONIFICIO GIANASSO SRL VIA ALLA CAFFARELLA 1 R CAMPOMORONE  GE;72298;409313;2;1;404312;1
C   627;PROCHEM SAS DI L.CHIOSI;;NULL;DCG/2016/38;DDT Campionatura Cliente;38;2016-02-17 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;NULL;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-11-30 00:00:00.000;.0000;.0000;2016;DCG;38;;2016-02-17 00:00:00.000;;FRANCO DESTINO;ANTICIPATO;NULL;NULL;LICOFARMA SRL S.P. 362 KM 17.650 Z.I. GALATINA LE;NULL;409315;2;1;402079;1
C  1117;CHEMSERVICE SPA;;NULL;DCG/2016/39;DDT Campionatura Cliente;39;2016-02-17 00:00:00.000;20207#095XXX;PROTELAN LS 9011/SL;FLACONI;5.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-04 00:00:00.000;.0000;.0000;2016;DCG;39;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;;NULL;409316;2;1;402679;1
C  2811;AREADERMA S.r.L.;;NULL;DCG/2016/40;DDT Campionatura Cliente;40;2016-02-17 00:00:00.000;20196#243XXX;FLEROGUM O 24 - E;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-16 00:00:00.000;.0000;.0000;2016;DCG;40;;2016-02-17 00:00:00.000;;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;NULL;409317;2;1;403728;1
C  2422;GIGLIOCHEM S.a.S.;;NULL;DCG/2016/41;DDT Campionatura Cliente;41;2016-02-17 00:00:00.000;20523#104XXX;ZETESOL MGS/D;NULL;1.000;KG;.000000;;ALIQUOTA 22%;.000000;2015-12-14 00:00:00.000;.0000;.0000;2016;DCG;41;;2016-02-17 00:00:00.000;;FRANCO DESTINO;VISTA FATTURA;NULL;NULL;DR. VRANJES FIRENZE SRL UNIPERSONALE VIA S. PERTINI, 5 BAGNO A RIPOLI (RIMAGGIO) FI;NULL;409319;2;1;403344;1
