CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;EXPORTCRM
C  2886;A.L.P.A. S.p.A.;;NULL;DCG/2016/1203;DDT Campionatura Cliente;1203;2016-11-15 00:00:00.000;2016;DCG;1203;;2016-11-15 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;0;438147
C  2886;A.L.P.A. S.p.A.;;NULL;DCG/2016/922;DDT Campionatura Cliente;922;2016-10-24 00:00:00.000;2016;DCG;922;;2016-10-24 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;109576;435529
C  2886;A.L.P.A. S.p.A.;;NULL;DCG/2017/541;DDT Campionatura Cliente;541;2017-06-08 00:00:00.000;2017;DCG;541;;2017-06-08 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;145556;460111
C  2886;A.L.P.A. S.p.A.;;NULL;DCG/2017/836;DDT Campionatura Cliente;836;2017-08-03 00:00:00.000;2017;DCG;836;;2017-08-03 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;154983;466935
C    12;A.V.T.  SRL;;NULL;DCG/2017/862;DDT Campionatura Cliente;862;2017-08-04 00:00:00.000;2017;DCG;862;;2017-08-04 00:00:00.000;FRANCO DESTINO;RIC.BANC.120 GG DF FM AL 10;NULL;NULL;;155042;467002
C  1643;ABICH SRL TECNOPARCO LAGO MAGGIORE;;NULL;DCG/2016/55;DDT Campionatura Cliente;55;2016-02-17 00:00:00.000;2016;DCG;55;;2016-02-17 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;LABORATORI VIA QUARANTADUE MARTIRI  213/B Verbania VB;NULL;409336
C  1643;ABICH SRL TECNOPARCO LAGO MAGGIORE;;NULL;DCG/2016/56;DDT Campionatura Cliente;56;2016-02-17 00:00:00.000;2016;DCG;56;;2016-02-17 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;NULL;409337
C  2920;AC LINDENBERG;;NULL;DCG/2017/129;DDT Campionatura Cliente;129;2017-02-24 00:00:00.000;2017;DCG;129;;2017-02-24 00:00:00.000;NULL;NULL;NULL;NULL;;127045;448214
C  1152;ACTION PIN;A    16;ZSCHIMMER & SCHWARZ - FRANCE;DCG/2016/753;DDT Campionatura Cliente;753;2016-06-24 00:00:00.000;2016;DCG;753;;2016-06-24 00:00:00.000;DAP VIELLE S.GIRONS;RIM.DIR.60 GG DF;NULL;NULL;;92997;423827
C  2611;AKHAVI LABORATORY;A    46;BARSA DAROU CO LTD;DCG/2017/877;DDT Campionatura Cliente;877;2017-08-04 00:00:00.000;2017;DCG;877;;2017-08-04 00:00:00.000;EXW TRICERRO;ANTICIPATO;NULL;NULL;;155057;467017
C  2929;ALBTISSUE GROUP;;NULL;DCG/2017/734;DDT Campionatura Cliente;734;2017-06-23 00:00:00.000;2017;DCG;734;;2017-06-23 00:00:00.000;NULL;NULL;NULL;NULL;;148421;462146
C  2929;ALBTISSUE GROUP;;NULL;DCG/2017/736;DDT Campionatura Cliente;736;2017-06-23 00:00:00.000;2017;DCG;736;;2017-06-23 00:00:00.000;NULL;NULL;NULL;NULL;;148423;462148
C  2585;ALFAPARF GROUP SPA;;NULL;DCG/2016/1182;DDT Campionatura Cliente;1182;2016-11-15 00:00:00.000;2016;DCG;1182;;2016-11-15 00:00:00.000;NULL;NULL;NULL;NULL;;113401;438116
C  2585;ALFAPARF GROUP SPA;;NULL;DCG/2016/1263;DDT Campionatura Cliente;1263;2016-12-15 00:00:00.000;2016;DCG;1263;;2016-12-15 00:00:00.000;NULL;NULL;NULL;NULL;;0;441604
C   789;ALLEGRINI SPA;;NULL;DCG/2016/476;DDT Campionatura Cliente;476;2016-05-11 00:00:00.000;2016;DCG;476;;2016-05-11 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;0;418654
C   789;ALLEGRINI SPA;;NULL;DCG/2016/970;DDT Campionatura Cliente;970;2016-10-27 00:00:00.000;2016;DCG;970;;2016-10-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;110274;436026
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;DCG/2016/1206;DDT Campionatura Cliente;1206;2016-11-15 00:00:00.000;2016;DCG;1206;;2016-11-15 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;0;438154
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;DCG/2016/945;DDT Campionatura Cliente;945;2016-10-24 00:00:00.000;2016;DCG;945;;2016-10-24 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;109604;435556
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;DCG/2017/186;DDT Campionatura Cliente;186;2017-02-27 00:00:00.000;2017;DCG;186;;2017-02-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;127632;448378
C  1417;AMH LABO;A    16;ZSCHIMMER & SCHWARZ - FRANCE;DCG/2016/378;DDT Campionatura Cliente;378;2016-04-13 00:00:00.000;2016;DCG;378;;2016-04-13 00:00:00.000;DAP FONTENOY;RIM.DIR.30 GG DF;NULL;NULL;;80593;415544
C  1417;AMH LABO;A    16;ZSCHIMMER & SCHWARZ - FRANCE;DCG/2016/513;DDT Campionatura Cliente;513;2016-05-13 00:00:00.000;2016;DCG;513;;2016-05-13 00:00:00.000;DAP FONTENOY;RIM.DIR.30 GG DF;NULL;NULL;;85690;419112
C  1880;ANDREA GALLO DI LUIGI SRL;;NULL;DCG/2016/135;DDT Campionatura Cliente;135;2016-03-11 00:00:00.000;2016;DCG;135;;2016-03-11 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;76246;412184
C  1880;ANDREA GALLO DI LUIGI SRL;;NULL;DCG/2017/360;DDT Campionatura Cliente;360;2017-04-14 00:00:00.000;2017;DCG;360;;2017-04-14 00:00:00.000;FRANCO DESTINO;RB 60 GG FM AL 10;NULL;NULL;;137377;454203
C  1880;ANDREA GALLO DI LUIGI SRL;;NULL;DCG/2017/798;DDT Campionatura Cliente;798;2017-08-02 00:00:00.000;2017;DCG;798;;2017-08-02 00:00:00.000;FRANCO DESTINO;RB 60 GG FM AL 10;NULL;NULL;;154536;466652
C  2862;ANGELINI SPA;;NULL;DCG/2016/1197;DDT Campionatura Cliente;1197;2016-11-15 00:00:00.000;2016;DCG;1197;;2016-11-15 00:00:00.000;NULL;NULL;NULL;NULL;;113424;438139
C  2862;ANGELINI SPA;;NULL;DCG/2016/795;DDT Campionatura Cliente;795;2016-08-29 00:00:00.000;2016;DCG;795;;2016-08-29 00:00:00.000;NULL;NULL;NULL;NULL;;101354;429202
C  2862;ANGELINI SPA;;NULL;DCG/2016/799;DDT Campionatura Cliente;799;2016-08-29 00:00:00.000;2016;DCG;799;;2016-08-29 00:00:00.000;NULL;NULL;NULL;NULL;;101359;429207
C  2862;ANGELINI SPA;;NULL;DCG/2016/995;DDT Campionatura Cliente;995;2016-10-27 00:00:00.000;2016;DCG;995;;2016-10-27 00:00:00.000;NULL;NULL;NULL;NULL;;110303;436054
C  2862;ANGELINI SPA;;NULL;DCG/2017/209;DDT Campionatura Cliente;209;2017-02-27 00:00:00.000;2017;DCG;209;;2017-02-27 00:00:00.000;NULL;NULL;NULL;NULL;;127557;448401
C  2862;ANGELINI SPA;;NULL;DCG/2017/579;DDT Campionatura Cliente;579;2017-06-20 00:00:00.000;2017;DCG;579;;2017-06-20 00:00:00.000;NULL;NULL;NULL;NULL;;147607;461412
C  2670;ANTIPIOL;;NULL;DCG/2017/166;DDT Campionatura Cliente;166;2017-02-27 00:00:00.000;2017;DCG;166;;2017-02-27 00:00:00.000;NULL;NULL;NULL;NULL;;127205;448358
C   158;ARAL SRL;A     5;MORARA SNC di  Morara Maurizio & C.;DCG/2017/240;DDT Campionatura Cliente;240;2017-02-27 00:00:00.000;2017;DCG;240;;2017-02-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.60/90 GG DF FM;NULL;NULL;;127588;448436
C   158;ARAL SRL;A     5;MORARA SNC di  Morara Maurizio & C.;DCG/2017/316;DDT Campionatura Cliente;316;2017-04-13 00:00:00.000;2017;DCG;316;;2017-04-13 00:00:00.000;FRANCO DESTINO;RIC.BANC.60/90 GG DF FM;NULL;NULL;;137206;454028
C  2811;AREADERMA S.r.L.;;NULL;DCG/2016/33;DDT Campionatura Cliente;33;2016-02-17 00:00:00.000;2016;DCG;33;;2016-02-17 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;72283;409306
C  2811;AREADERMA S.r.L.;;NULL;DCG/2016/387;DDT Campionatura Cliente;387;2016-04-18 00:00:00.000;2016;DCG;387;;2016-04-18 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;81979;416078
C  2811;AREADERMA S.r.L.;;NULL;DCG/2016/40;DDT Campionatura Cliente;40;2016-02-17 00:00:00.000;2016;DCG;40;;2016-02-17 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;NULL;409317
C  2811;AREADERMA S.r.L.;;NULL;DCG/2017/833;DDT Campionatura Cliente;833;2017-08-03 00:00:00.000;2017;DCG;833;;2017-08-03 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;154980;466932
C    87;ARTSANA SPA;;NULL;DCG/2016/1027;DDT Campionatura Cliente;1027;2016-11-03 00:00:00.000;2016;DCG;1027;;2016-11-03 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;0;436719
C    87;ARTSANA SPA;;NULL;DCG/2016/1286;DDT Campionatura Cliente;1286;2016-12-19 00:00:00.000;2016;DCG;1286;;2016-12-19 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;118641;441926
C    87;ARTSANA SPA;;NULL;DCG/2016/136;DDT Campionatura Cliente;136;2016-03-11 00:00:00.000;2016;DCG;136;;2016-03-11 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;NULL;412193
C    87;ARTSANA SPA;;NULL;DCG/2016/57;DDT Campionatura Cliente;57;2016-02-17 00:00:00.000;2016;DCG;57;;2016-02-17 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;NULL;409339
C    87;ARTSANA SPA;;NULL;DCG/2016/70;DDT Campionatura Cliente;70;2016-02-18 00:00:00.000;2016;DCG;70;;2016-02-18 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;72467;409608
C    87;ARTSANA SPA;;NULL;DCG/2016/792;DDT Campionatura Cliente;792;2016-08-29 00:00:00.000;2016;DCG;792;;2016-08-29 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;101348;429195
C    87;ARTSANA SPA;;NULL;DCG/2016/860;DDT Campionatura Cliente;860;2016-09-01 00:00:00.000;2016;DCG;860;;2016-09-01 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;101915;429769
C    87;ARTSANA SPA;;NULL;DCG/2016/915;DDT Campionatura Cliente;915;2016-10-24 00:00:00.000;2016;DCG;915;;2016-10-24 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;109567;435521
C    87;ARTSANA SPA;;NULL;DCG/2017/125;DDT Campionatura Cliente;125;2017-02-24 00:00:00.000;2017;DCG;125;;2017-02-24 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;127041;448209
C    87;ARTSANA SPA;;NULL;DCG/2017/449;DDT Campionatura Cliente;449;2017-06-06 00:00:00.000;2017;DCG;449;;2017-06-06 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;145101;459755
C    87;ARTSANA SPA;;NULL;DCG/2017/530;DDT Campionatura Cliente;530;2017-06-08 00:00:00.000;2017;DCG;530;;2017-06-08 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;145543;460098
C    87;ARTSANA SPA;;NULL;DCG/2017/585;DDT Campionatura Cliente;585;2017-06-20 00:00:00.000;2017;DCG;585;;2017-06-20 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;147623;461423
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;DCG/2016/1143;DDT Campionatura Cliente;1143;2016-11-14 00:00:00.000;2016;DCG;1143;;2016-11-14 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack d.o.o. Gmajna 3  Trzin- SLOVENIA;113201;437955
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;DCG/2016/1154;DDT Campionatura Cliente;1154;2016-11-14 00:00:00.000;2016;DCG;1154;;2016-11-14 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack d.o.o.  Gmajna 3  Trzin- SLOVENIA;113224;437978
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;DCG/2016/427;DDT Campionatura Cliente;427;2016-04-26 00:00:00.000;2016;DCG;427;;2016-04-26 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack  Gmajna 3   Trzin- SLOVENIA;83043;416935
C  2985;ATQ - POLIGONO RAFALET;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2017/878;DDT Campionatura Cliente;878;2017-08-04 00:00:00.000;2017;DCG;878;;2017-08-04 00:00:00.000;DAP;NULL;NULL;NULL;;155058;467018
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/1000;DDT Campionatura Cliente;1000;2016-10-27 00:00:00.000;2016;DCG;1000;;2016-10-27 00:00:00.000;NULL;NULL;NULL;NULL;;110308;436059
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;DCG/2016/934;DDT Campionatura Cliente;934;2016-10-24 00:00:00.000;2016;DCG;934;;2016-10-24 00:00:00.000;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;109591;435543
C  1895;B.C. SRL;;NULL;DCG/2016/111;DDT Campionatura Cliente;111;2016-02-22 00:00:00.000;2016;DCG;111;;2016-02-22 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;73257;409944
C  1895;B.C. SRL;;NULL;DCG/2016/775;DDT Campionatura Cliente;775;2016-06-29 00:00:00.000;2016;DCG;775;;2016-06-29 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;93561;424390
C  1895;B.C. SRL;;NULL;DCG/2016/932;DDT Campionatura Cliente;932;2016-10-24 00:00:00.000;2016;DCG;932;;2016-10-24 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;109589;435541
C  1895;B.C. SRL;;NULL;DCG/2017/345;DDT Campionatura Cliente;345;2017-04-14 00:00:00.000;2017;DCG;345;;2017-04-14 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;137359;454182
C  1895;B.C. SRL;;NULL;DCG/2017/845;DDT Campionatura Cliente;845;2017-08-03 00:00:00.000;2017;DCG;845;;2017-08-03 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;154994;466946
C  2275;BARCELONESA;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2016/1169;DDT Campionatura Cliente;1169;2016-11-15 00:00:00.000;2016;DCG;1169;;2016-11-15 00:00:00.000;DAP POLINYA -SPAGNA;RIM.DIR.60 GG DF FM;NULL;NULL;BDPQ POLINYA C/PINTOR CASA 1-3 POLINYA-SPAGNA;113344;438070
C  2275;BARCELONESA;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;DCG/2016/755;DDT Campionatura Cliente;755;2016-06-24 00:00:00.000;2016;DCG;755;;2016-06-24 00:00:00.000;DAP POLINYA -SPAGNA;RIM.DIR.60 GG DF FM;NULL;NULL;BDPQ POLINYA C/PINTOR CASA 1-3 POLINYA-SPAGNA;93003;423829
C  1580;BARSA DAROU CO LTD;;NULL;DCG/2016/1070;DDT Campionatura Cliente;1070;2016-11-09 00:00:00.000;2016;DCG;1070;;2016-11-09 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;POLYBON CO LTD-  ADD #3 NO. 4 NAIEM ST., TEHRANVILA ST.,SATTARKHAN AVE 1444715594 TEHRAN-IRAN;0;437331
C  1580;BARSA DAROU CO LTD;;NULL;DCG/2016/1146;DDT Campionatura Cliente;1146;2016-11-14 00:00:00.000;2016;DCG;1146;;2016-11-14 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;;113206;437960
C  1580;BARSA DAROU CO LTD;;NULL;DCG/2016/548;DDT Campionatura Cliente;548;2016-05-13 00:00:00.000;2016;DCG;548;;2016-05-13 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;SEAGULL LABORATORY UNIT 7 SECOND FLOOR N. 17 TAVANIR ST.,VALI ASR ST., - TEHRAN-IRAN;85737;419152
C  1580;BARSA DAROU CO LTD;;NULL;DCG/2016/556;DDT Campionatura Cliente;556;2016-05-17 00:00:00.000;2016;DCG;556;;2016-05-17 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;SEDR SEHAT CO. NO.26 WESTERN 17TH ST.-EHSAN AVE.-TEHRANPARS AREA TEHRAN-IRAN;86519;419402
C  1580;BARSA DAROU CO LTD;;NULL;DCG/2017/32;DDT Campionatura Cliente;32;2017-02-22 00:00:00.000;2017;DCG;32;;2017-02-22 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;;126572;447822
C  2691;BEAUTY & BUSINESS SPA;;NULL;DCG/2017/505;DDT Campionatura Cliente;505;2017-06-07 00:00:00.000;2017;DCG;505;;2017-06-07 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;145348;459936
C  2691;BEAUTY & BUSINESS SPA;;NULL;DCG/2017/513;DDT Campionatura Cliente;513;2017-06-08 00:00:00.000;2017;DCG;513;;2017-06-08 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;145524;460079
C  2691;BEAUTY & BUSINESS SPA;;NULL;DCG/2017/970;DDT Campionatura Cliente;970;2017-08-29 00:00:00.000;2017;DCG;970;;2017-08-29 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;156268;467995
C  2955;BELLINI SRL;;NULL;DCG/2017/414;DDT Campionatura Cliente;414;2017-06-06 00:00:00.000;2017;DCG;414;;2017-06-06 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;145065;459713
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/1;DDT Campionatura Cliente;1;2016-01-15 00:00:00.000;2016;DCG;1;;2016-01-15 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;67415;405544
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/1222;DDT Campionatura Cliente;1222;2016-11-21 00:00:00.000;2016;DCG;1222;;2016-11-21 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;0;438787
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/23;DDT Campionatura Cliente;23;2016-02-16 00:00:00.000;2016;DCG;23;;2016-02-16 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;;72011;409171
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/581;DDT Campionatura Cliente;581;2016-05-19 00:00:00.000;2016;DCG;581;;2016-05-19 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;86884;419618
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/582;DDT Campionatura Cliente;582;2016-05-19 00:00:00.000;2016;DCG;582;;2016-05-19 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;86886;419620
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/583;DDT Campionatura Cliente;583;2016-05-19 00:00:00.000;2016;DCG;583;;2016-05-19 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;86890;419625
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2016/878;DDT Campionatura Cliente;878;2016-09-22 00:00:00.000;2016;DCG;878;;2016-09-22 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06259 MINSK-ZAPADNYI 4-J PEREULOK MONTAZHINIKOV, STR, 7, MINSK- BELARUS;105110;432168
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2017/14;DDT Campionatura Cliente;14;2017-02-09 00:00:00.000;2017;DCG;14;;2017-02-09 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;0;446225
C  2555;BELPHARM-CSKL LLC;;NULL;DCG/2017/15;DDT Campionatura Cliente;15;2017-02-09 00:00:00.000;2017;DCG;15;;2017-02-09 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;124400;446227
