CODCLIFOR;RAGIONESOCIALE;CODAGENTE1;AGENTE;DOCUMENTO;TIPODOCUMENTO;NUMRIFDOC;DATARIFDOC;ESERCIZIO;TIPODOC;NUMERODOC;BIS;DATADOC;INCOTERM;DESCRIZIONEPAGAMENTO;DATASCADENZA;IMPORTOSCEURO;DESTINAZIONE;IDOBJECT;EXPORTCRM
C  2886;A.L.P.A. S.p.A.;;NULL;OCG/2017/782;ORDINE CAMPION. GRATUITA;CRM J.M.;2017-06-26 00:00:00.000;2017;OCG;782;;2017-06-26 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;;148612;462248
C    12;A.V.T.  SRL;;NULL;OCG/2017/785;ORDINE CAMPION. GRATUITA;785;2017-06-27 00:00:00.000;2017;OCG;785;;2017-06-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.120 GG DF FM AL 10;NULL;NULL;;148831;462348
C  1643;ABICH SRL TECNOPARCO LAGO MAGGIORE;;NULL;OCG/2016/30;ORDINE CAMPION. GRATUITA;30;2016-01-11 00:00:00.000;2016;OCG;30;;2016-01-11 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;LABORATORI VIA QUARANTADUE MARTIRI  213/B Verbania VB;66900;404919
C  1643;ABICH SRL TECNOPARCO LAGO MAGGIORE;;NULL;OCG/2016/31;ORDINE CAMPION. GRATUITA;E-MAIL;2016-01-11 00:00:00.000;2016;OCG;31;;2016-01-11 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;66901;404920
C  2920;AC LINDENBERG;;NULL;OCG/2017/184;ORDINE CAMPION. GRATUITA;184;2017-02-15 00:00:00.000;2017;OCG;184;;2017-02-15 00:00:00.000;NULL;NULL;NULL;NULL;;125211;447010
C  1152;ACTION PIN;A    16;ZSCHIMMER & SCHWARZ - FRANCE;OCG/2016/568;ORDINE CAMPION. GRATUITA;E-MAIL;2016-05-12 00:00:00.000;2016;OCG;568;;2016-05-13 00:00:00.000;DAP VIELLE S.GIRONS;RIM.DIR.60 GG DF;NULL;NULL;;85684;419106
C  2611;AKHAVI LABORATORY;A    46;BARSA DAROU CO LTD;OCG/2017/933;ORDINE CAMPION. GRATUITA;E-MAIL;2017-07-24 00:00:00.000;2017;OCG;933;;2017-08-02 00:00:00.000;EXW TRICERRO;ANTICIPATO;NULL;NULL;;154556;466674
C  2929;ALBTISSUE GROUP;;NULL;OCG/2017/325;ORDINE CAMPION. GRATUITA;E-MAIL;2017-03-15 00:00:00.000;2017;OCG;325;;2017-03-23 00:00:00.000;NULL;NULL;NULL;NULL;;131747;451448
C  2929;ALBTISSUE GROUP;;NULL;OCG/2017/326;ORDINE CAMPION. GRATUITA;E-MAIL;2017-03-15 00:00:00.000;2017;OCG;326;;2017-03-23 00:00:00.000;NULL;NULL;NULL;NULL;;131751;451451
C  2585;ALFAPARF GROUP SPA;;NULL;OCG/2016/1227;ORDINE CAMPION. GRATUITA;1227;2016-11-15 00:00:00.000;2016;OCG;1227;;2016-11-15 00:00:00.000;NULL;NULL;NULL;NULL;;113282;438022
C  2585;ALFAPARF GROUP SPA;;NULL;OCG/2016/1283;ORDINE CAMPION. GRATUITA;E-MAIL;2016-11-25 00:00:00.000;2016;OCG;1283;;2016-11-25 00:00:00.000;NULL;NULL;NULL;NULL;;114954;439389
C   789;ALLEGRINI SPA;;NULL;OCG/2016/1017;ORDINE CAMPION. GRATUITA;1017;2016-09-20 00:00:00.000;2016;OCG;1017;;2016-09-20 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;104806;431934
C   789;ALLEGRINI SPA;;NULL;OCG/2016/473;ORDINE CAMPION. GRATUITA;473;2016-04-20 00:00:00.000;2016;OCG;473;;2016-04-20 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;82388;416336
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;OCG/2016/1060;ORDINE CAMPION. GRATUITA;1060;2016-10-03 00:00:00.000;2016;OCG;1060;;2016-10-03 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;106712;433145
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;OCG/2016/1177;ORDINE CAMPION. GRATUITA;1177;2016-11-02 00:00:00.000;2016;OCG;1177;;2016-11-02 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;110833;436340
C  1910;ALLEGRO NATURA DI ALLEGRO VALERIO;;NULL;OCG/2017/92;ORDINE CAMPION. GRATUITA;92;2017-01-30 00:00:00.000;2017;OCG;92;;2017-01-30 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM;NULL;NULL;;122783;445055
C  1417;AMH LABO;A    16;ZSCHIMMER & SCHWARZ - FRANCE;OCG/2016/417;ORDINE CAMPION. GRATUITA;E-MAIL;2016-04-06 00:00:00.000;2016;OCG;417;;2016-04-06 00:00:00.000;DAP FONTENOY;RIM.DIR.30 GG DF;NULL;NULL;;79684;414911
C  1417;AMH LABO;A    16;ZSCHIMMER & SCHWARZ - FRANCE;OCG/2016/513;ORDINE CAMPION. GRATUITA;E-MAIL;2016-04-28 00:00:00.000;2016;OCG;513;;2016-04-29 00:00:00.000;DAP FONTENOY;RIM.DIR.30 GG DF;NULL;NULL;;83441;417272
C  1880;ANDREA GALLO DI LUIGI SRL;;NULL;OCG/2017/300;ORDINE CAMPION. GRATUITA;E-MAIL J.M.;2017-03-20 00:00:00.000;2017;OCG;300;;2017-03-20 00:00:00.000;FRANCO DESTINO;RB 60 GG FM AL 10;NULL;NULL;;131241;451049
C  1880;ANDREA GALLO DI LUIGI SRL;;NULL;OCG/2017/886;ORDINE CAMPION. GRATUITA;E-MAIL JM;2017-07-20 00:00:00.000;2017;OCG;886;;2017-07-20 00:00:00.000;FRANCO DESTINO;RB 60 GG FM AL 10;NULL;NULL;;152585;465245
C  2862;ANGELINI SPA;;NULL;OCG/2016/1196;ORDINE CAMPION. GRATUITA;1196;2016-11-08 00:00:00.000;2016;OCG;1196;;2016-11-08 00:00:00.000;NULL;NULL;NULL;NULL;;112266;437124
C  2862;ANGELINI SPA;;NULL;OCG/2016/780;ORDINE CAMPION. GRATUITA;780;2016-07-01 00:00:00.000;2016;OCG;780;;2016-07-01 00:00:00.000;NULL;NULL;NULL;NULL;;93893;424698
C  2862;ANGELINI SPA;;NULL;OCG/2016/907;ORDINE CAMPION. GRATUITA;907;2016-08-24 00:00:00.000;2016;OCG;907;;2016-08-24 00:00:00.000;NULL;NULL;NULL;NULL;;100947;428854
C  2862;ANGELINI SPA;;NULL;OCG/2016/910;ORDINE CAMPION. GRATUITA;910;2016-08-26 00:00:00.000;2016;OCG;910;;2016-08-26 00:00:00.000;NULL;NULL;NULL;NULL;;101154;429050
C  2862;ANGELINI SPA;;NULL;OCG/2017/645;ORDINE CAMPION. GRATUITA;645;2017-05-29 00:00:00.000;2017;OCG;645;;2017-05-29 00:00:00.000;NULL;NULL;NULL;NULL;;143603;458712
C  2862;ANGELINI SPA;;NULL;OCG/2017/72;ORDINE CAMPION. GRATUITA;72;2017-01-25 00:00:00.000;2017;OCG;72;;2017-01-25 00:00:00.000;NULL;NULL;NULL;NULL;;121901;444485
C  2670;ANTIPIOL;;NULL;OCG/2017/137;ORDINE CAMPION. GRATUITA;E-MAIL;2017-02-06 00:00:00.000;2017;OCG;137;;2017-02-06 00:00:00.000;NULL;NULL;NULL;NULL;;123758;445877
C   158;ARAL SRL;A     5;MORARA SNC di  Morara Maurizio & C.;OCG/2016/1340;ORDINE CAMPION. GRATUITA;1340;2016-12-07 00:00:00.000;2016;OCG;1340;;2016-12-07 00:00:00.000;FRANCO DESTINO;RIC.BANC.60/90 GG DF FM;NULL;NULL;;116939;440804
C   158;ARAL SRL;A     5;MORARA SNC di  Morara Maurizio & C.;OCG/2017/358;ORDINE CAMPION. GRATUITA;358;2017-03-30 00:00:00.000;2017;OCG;358;;2017-03-30 00:00:00.000;FRANCO DESTINO;RIC.BANC.60/90 GG DF FM;NULL;NULL;;133748;452266
C  2811;AREADERMA S.r.L.;;NULL;OCG/2016/448;ORDINE CAMPION. GRATUITA;E-MAIL;2016-04-14 00:00:00.000;2016;OCG;448;;2016-04-14 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;80658;415703
C  2811;AREADERMA S.r.L.;;NULL;OCG/2017/758;ORDINE CAMPION. GRATUITA;E-MAIL A.M.;2017-06-21 00:00:00.000;2017;OCG;758;;2017-06-21 00:00:00.000;FRANCO DESTINO;RIC.BANC.30/60 GG DF FM;NULL;NULL;;147972;461814
C    87;ARTSANA SPA;;NULL;OCG/2016/1104;ORDINE CAMPION. GRATUITA;1104;2016-10-11 00:00:00.000;2016;OCG;1104;;2016-10-11 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;108027;434132
C    87;ARTSANA SPA;;NULL;OCG/2016/1124;ORDINE CAMPION. GRATUITA;1124;2016-10-14 00:00:00.000;2016;OCG;1124;;2016-10-14 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;108508;434654
C    87;ARTSANA SPA;;NULL;OCG/2016/1174;ORDINE CAMPION. GRATUITA;1174;2016-10-31 00:00:00.000;2016;OCG;1174;;2016-10-31 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;110708;436270
C    87;ARTSANA SPA;;NULL;OCG/2016/1204;ORDINE CAMPION. GRATUITA;1204;2016-11-09 00:00:00.000;2016;OCG;1204;;2016-11-09 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;112429;437257
C    87;ARTSANA SPA;;NULL;OCG/2016/200;ORDINE CAMPION. GRATUITA;200;2016-02-16 00:00:00.000;2016;OCG;200;;2016-02-16 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;71930;409099
C    87;ARTSANA SPA;;NULL;OCG/2016/76;ORDINE CAMPION. GRATUITA;76;2016-01-20 00:00:00.000;2016;OCG;76;;2016-01-20 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;67790;406052
C    87;ARTSANA SPA;;NULL;OCG/2016/833;ORDINE CAMPION. GRATUITA;833;2016-07-20 00:00:00.000;2016;OCG;833;;2016-07-20 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;96867;426609
C    87;ARTSANA SPA;;NULL;OCG/2016/912;ORDINE CAMPION. GRATUITA;912;2016-08-26 00:00:00.000;2016;OCG;912;;2016-08-26 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;101218;429096
C    87;ARTSANA SPA;;NULL;OCG/2017/243;ORDINE CAMPION. GRATUITA;243;2017-03-03 00:00:00.000;2017;OCG;243;;2017-03-03 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;128188;449117
C    87;ARTSANA SPA;;NULL;OCG/2017/293;ORDINE CAMPION. GRATUITA;293;2017-03-17 00:00:00.000;2017;OCG;293;;2017-03-17 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;131034;450915
C    87;ARTSANA SPA;;NULL;OCG/2017/451;ORDINE CAMPION. GRATUITA;451;2017-04-19 00:00:00.000;2017;OCG;451;;2017-04-19 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;137914;454484
C    87;ARTSANA SPA;;NULL;OCG/2017/51;ORDINE CAMPION. GRATUITA;51;2017-01-18 00:00:00.000;2017;OCG;51;;2017-01-18 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;120899;443850
C    87;ARTSANA SPA;;NULL;OCG/2017/582;ORDINE CAMPION. GRATUITA;582;2017-05-17 00:00:00.000;2017;OCG;582;;2017-05-17 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;141618;457361
C    87;ARTSANA SPA;;NULL;OCG/2017/680;ORDINE CAMPION. GRATUITA;680;2017-06-07 00:00:00.000;2017;OCG;680;;2017-06-07 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;145169;459814
C    87;ARTSANA SPA;;NULL;OCG/2017/746;ORDINE CAMPION. GRATUITA;746;2017-06-16 00:00:00.000;2017;OCG;746;;2017-06-16 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;147171;461224
C    87;ARTSANA SPA;;NULL;OCG/2017/830;ORDINE CAMPION. GRATUITA;830;2017-07-10 00:00:00.000;2017;OCG;830;;2017-07-10 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;150642;463834
C    87;ARTSANA SPA;;NULL;OCG/2017/942;ORDINE CAMPION. GRATUITA;942;2017-08-07 00:00:00.000;2017;OCG;942;;2017-08-07 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;155197;467164
C    87;ARTSANA SPA;;NULL;OCG/2017/979;ORDINE CAMPION. GRATUITA;979;2017-08-31 00:00:00.000;2017;OCG;979;;2017-08-31 00:00:00.000;FRANCO DESTINO;RIM.DIR.90 GG DF FM;NULL;NULL;ARTSANA SPA - UP14 VIA MARCONI, 1 GESSATE MI;156589;468351
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;OCG/2016/468;ORDINE CAMPION. GRATUITA;E-MAIL;2016-04-18 00:00:00.000;2016;OCG;468;;2016-04-19 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack  Gmajna 3   Trzin- SLOVENIA;82160;416182
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;OCG/2016/675;ORDINE CAMPION. GRATUITA;E-MAIL;2016-06-08 00:00:00.000;2016;OCG;675;;2016-06-10 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack  Gmajna 3  Trzin SLOVENIA;90083;421953
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;OCG/2016/857;ORDINE CAMPION. GRATUITA;E-MAIL;2016-07-14 00:00:00.000;2016;OCG;857;;2016-07-22 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack d.o.o.  Gmajna 3  Trzin- SLOVENIA;98074;427150
C  2334;ATOTECH SLOVENIJA D.D.;;NULL;OCG/2016/891;ORDINE CAMPION. GRATUITA;E-MAIL;2016-07-28 00:00:00.000;2016;OCG;891;;2016-07-29 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;Overlack d.o.o. Gmajna 3  Trzin- SLOVENIA;98913;427823
C  2985;ATQ - POLIGONO RAFALET;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;OCG/2017/934;ORDINE CAMPION. GRATUITA;E-MAIL;2017-07-06 00:00:00.000;2017;OCG;934;;2017-08-02 00:00:00.000;DAP;NULL;NULL;NULL;;154568;466684
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;OCG/2016/1085;ORDINE CAMPION. GRATUITA;E-MAIL;2016-10-07 00:00:00.000;2016;OCG;1085;;2016-10-07 00:00:00.000;FRANCO DESTINO;ANTICIPATO;NULL;NULL;;107384;433778
C  2874;AULINA S.R.L. -  COSMETICA NATURALE;;NULL;OCG/2016/955;ORDINE CAMPION. GRATUITA;E-MAIL A.M.;2016-09-06 00:00:00.000;2016;OCG;955;;2016-09-06 00:00:00.000;NULL;NULL;NULL;NULL;;102443;430215
C  1895;B.C. SRL;;NULL;OCG/2016/1093;ORDINE CAMPION. GRATUITA;1093;2016-10-10 00:00:00.000;2016;OCG;1093;;2016-10-10 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;107681;433914
C  1895;B.C. SRL;;NULL;OCG/2016/136;ORDINE CAMPION. GRATUITA;136;2016-02-03 00:00:00.000;2016;OCG;136;;2016-02-03 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;69678;407716
C  1895;B.C. SRL;;NULL;OCG/2016/757;ORDINE CAMPION. GRATUITA;757;2016-06-27 00:00:00.000;2016;OCG;757;;2016-06-27 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;93235;424001
C  1895;B.C. SRL;;NULL;OCG/2017/331;ORDINE CAMPION. GRATUITA;331;2017-03-23 00:00:00.000;2017;OCG;331;;2017-03-23 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;131818;451499
C  1895;B.C. SRL;;NULL;OCG/2017/756;ORDINE CAMPION. GRATUITA;756;2017-06-21 00:00:00.000;2017;OCG;756;;2017-06-21 00:00:00.000;FRANCO DESTINO;RIC.BANC.90 GG DF FM AL 10;NULL;NULL;B.C. COSMETIC AND FOOD SRL VIA REDIPUGLIA N 150 GORLA MINORE VA;147954;461798
C  2275;BARCELONESA;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;OCG/2016/566;ORDINE CAMPION. GRATUITA;e-mail;2016-05-13 00:00:00.000;2016;OCG;566;;2016-05-13 00:00:00.000;DAP POLINYA -SPAGNA;RIM.DIR.60 GG DF FM;NULL;NULL;BDPQ POLINYA C/PINTOR CASA 1-3 POLINYA-SPAGNA;85604;419056
C  2275;BARCELONESA;A    61;ZSCHIMMER & SCHWARZ SPAGNA S.A.;OCG/2016/973;ORDINE CAMPION. GRATUITA;E-MAIL;2016-09-12 00:00:00.000;2016;OCG;973;;2016-09-12 00:00:00.000;DAP POLINYA -SPAGNA;RIM.DIR.60 GG DF FM;NULL;NULL;BDPQ POLINYA C/PINTOR CASA 1-3 POLINYA-SPAGNA;103466;430808
C  1580;BARSA DAROU CO LTD;;NULL;OCG/2016/1073;ORDINE CAMPION. GRATUITA;e-mail;2016-10-03 00:00:00.000;2016;OCG;1073;;2016-10-04 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;POLYBON CO LTD-  ADD #3 NO. 4 NAIEM ST., TEHRANVILA ST.,SATTARKHAN AVE 1444715594 TEHRAN-IRAN;107081;433490
C  1580;BARSA DAROU CO LTD;;NULL;OCG/2016/897;ORDINE CAMPION. GRATUITA;e-mail;2016-08-01 00:00:00.000;2016;OCG;897;;2016-08-01 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;;99178;427966
C  1580;BARSA DAROU CO LTD;;NULL;OCG/2017/165;ORDINE CAMPION. GRATUITA;E-MAIL;2017-02-07 00:00:00.000;2017;OCG;165;;2017-02-10 00:00:00.000;NULL;VISTA FATTURA;NULL;NULL;;124644;446422
C  2691;BEAUTY & BUSINESS SPA;;NULL;OCG/2017/494;ORDINE CAMPION. GRATUITA;494;2017-04-28 00:00:00.000;2017;OCG;494;;2017-04-28 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;138891;455429
C  2691;BEAUTY & BUSINESS SPA;;NULL;OCG/2017/518;ORDINE CAMPION. GRATUITA;518;2017-05-04 00:00:00.000;2017;OCG;518;;2017-05-04 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;139574;455983
C  2691;BEAUTY & BUSINESS SPA;;NULL;OCG/2017/963;ORDINE CAMPION. GRATUITA;963;2017-08-28 00:00:00.000;2017;OCG;963;;2017-08-28 00:00:00.000;FRANCO DESTINO;RIC.BANC.60 GG DF FM;NULL;NULL;BEAUTY & BUSINESS Magazzino/Produzione VIA CISERANO SNC OSIO SOTTO BG;156021;467883
C  2955;BELLINI SRL;;NULL;OCG/2017/618;ORDINE CAMPION. GRATUITA;E-MAIL S.P.;2017-05-23 00:00:00.000;2017;OCG;618;;2017-05-23 00:00:00.000;FRANCO DESTINO;NULL;NULL;NULL;;142799;458064
C  2555;BELPHARM-CSKL LLC;;NULL;OCG/2016/1002;ORDINE CAMPION. GRATUITA;E-MAIL;2016-09-05 00:00:00.000;2016;OCG;1002;;2016-09-15 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06259 MINSK-ZAPADNYI 4-J PEREULOK MONTAZHINIKOV, STR, 7, MINSK- BELARUS;104324;431466
C  2555;BELPHARM-CSKL LLC;;NULL;OCG/2016/1246;ORDINE CAMPION. GRATUITA;E-MAIL;2016-11-17 00:00:00.000;2016;OCG;1246;;2016-11-18 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;113925;438591
C  2555;BELPHARM-CSKL LLC;;NULL;OCG/2016/1299;ORDINE CAMPION. GRATUITA;E-MAIL;2016-11-28 00:00:00.000;2016;OCG;1299;;2016-11-29 00:00:00.000;EXW TRICERRO;RIM.DIR.30 GG DF;NULL;NULL;PTO#06529 KOLYADICHI-AVTO PROMZONA KOLYADICHI, 39 BABUSHKINA STR. CUSTOMS WAREHOUSE BA-06001 MINSK- BELARUS;115304;439669
